,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Professional,Walk,OtherTransp,WorkAtHome,MeanCommute,Unemployment,Crime_RatePer100K,Murder,Rape,Robbery,Agg.Assault,Burglary,Larceny,MotorVeh Theft,Arson
0,California,Alameda County,1629615,799649,829966,22.5,32.2,10.7,0.3,28.7,0.8,41363,48.0,3.7,3.6,6.0,32.5,6.0,753.6935735000001,153,477,6220,5050,13245,35841,13044,337
1,California,Los Angeles County,10105722,4979641,5126081,48.4,26.5,7.9,0.2,14.3,0.2,30798,36.4,2.7,2.3,5.3,30.9,7.8,444.80081399999995,600,1976,18923,23057,49107,142604,40555,2210
2,California,San Diego County,3283665,1651147,1632518,33.4,46.2,4.7,0.4,11.5,0.4,34350,41.3,2.9,2.2,7.0,25.7,7.1,368.6724057,107,692,3200,7840,14076,43412,12136,346
3,California,San Francisco County,864263,440633,423630,15.3,40.8,5.1,0.2,33.9,0.3,59508,55.0,11.1,7.1,6.7,32.8,5.4,701.4217103999999,69,110,3554,2141,5401,29256,5381,211
4,District of Columbia,District of Columbia,672391,319046,353345,10.7,36.0,46.9,0.2,3.7,0.0,50832,61.7,13.2,6.2,5.7,30.0,8.0,1216.801325,88,236,4037,3505,3519,23575,3663,51
5,Florida,Broward County,1890416,920265,970151,28.4,38.2,27.4,0.2,3.5,0.0,30109,35.6,1.2,2.1,4.9,28.2,7.6,470.94805210000004,80,401,3408,4771,17400,45279,4320,180
6,Florida,Duval County,912043,442115,469928,9.0,54.1,29.3,0.2,4.6,0.1,28593,36.6,1.7,2.0,4.8,24.5,7.4,621.5464156,94,355,1436,3621,8025,27335,1712,96
7,Texas,Duval County,11434,5891,5543,89.3,9.0,1.4,0.0,0.3,0.0,19085,19.6,3.1,1.2,6.2,27.6,13.6,621.5464156,94,355,1436,3621,8025,27335,1712,96
8,Florida,Escambia County,309924,153834,156090,5.5,64.8,21.6,0.4,2.8,0.1,25666,32.6,2.1,1.7,9.0,21.9,7.2,798.51676,22,162,502,1756,3899,9920,680,52
9,Florida,Hillsborough County,1351087,658639,692448,27.4,50.3,15.5,0.2,3.9,0.1,29806,38.4,1.5,1.9,6.2,27.3,6.8,353.83074039999997,53,187,1130,3200,7139,21548,1811,110
10,Florida,Monroe County,76745,40218,36527,23.5,67.3,6.7,0.1,1.2,0.0,39176,30.8,4.6,10.8,5.9,17.8,3.7,356.854134,41,175,1011,1447,4968,16774,976,233
11,New York,Monroe County,748680,361649,387031,8.3,71.0,14.5,0.2,3.6,0.0,31291,42.7,3.2,1.3,3.8,20.1,6.6,356.854134,41,175,1011,1447,4968,16774,976,233
12,Florida,Pinellas County,949842,456017,493825,9.2,74.7,10.0,0.2,3.3,0.1,32120,37.7,1.6,3.0,6.7,24.4,6.4,550.6712247,44,361,1206,3505,7392,24499,1755,167
13,New York,Albany County,308580,149287,159293,5.7,73.0,11.7,0.1,6.4,0.0,35278,44.7,4.6,1.6,3.5,20.4,5.3,330.6781345,5,69,318,623,1497,7210,265,19
14,New York,Erie County,923995,447024,476971,5.2,76.0,13.0,0.4,3.4,0.0,31083,38.7,2.7,1.1,2.8,21.3,5.5,459.3060294,50,211,1602,2361,6019,19729,1481,341
15,New York,New York County,1653877,782142,871735,26.1,46.8,12.5,0.1,11.9,0.0,69529,60.0,20.4,5.6,6.7,31.8,6.2,634.0093435,81,227,3932,6070,3623,22730,1592,0
16,New York,Onondaga County,467669,225685,241984,4.7,77.1,10.7,0.5,3.9,0.0,31436,41.2,4.3,1.1,4.0,20.1,6.4,374.9036587,15,111,539,1091,2988,8553,592,63
17,Texas,Austin County,29292,14474,14818,25.9,63.3,8.9,0.0,0.2,0.0,30101,30.9,1.9,1.3,4.6,31.1,5.4,194.1276389,1,7,5,43,142,322,27,1
18,Texas,Bexar County,1892004,932577,959427,59.8,28.4,7.0,0.2,2.6,0.1,26158,34.8,1.7,1.4,4.2,25.0,6.1,431.06056849999993,101,649,2038,5047,18580,69589,7155,336
19,Texas,Dallas County,2552213,1257751,1294462,39.6,30.2,22.1,0.2,6.0,0.0,29810,34.0,1.5,2.0,4.3,27.2,5.9,442.96507199999996,165,706,4889,5227,25141,59144,10235,692
20,Texas,Harris County,4525519,2251060,2274459,42.2,30.6,18.5,0.2,6.8,0.1,30856,35.4,1.5,1.9,3.7,28.9,6.4,696.1038338,307,1143,12449,16290,43644,114208,20829,1153
21,Texas,Tarrant County,1983675,971142,1012533,28.2,48.3,15.6,0.3,5.1,0.2,30857,36.6,1.2,1.2,4.3,27.0,5.4,416.156389,73,687,2167,5028,16077,46906,4559,228
22,Texas,Travis County,1176584,593319,583265,33.9,49.3,7.9,0.2,6.3,0.0,38820,47.4,1.9,2.3,8.4,25.3,4.5,345.42006180000004,32,236,997,2607,8244,36913,2419,152
